Triangle,Total Points,Mean CKKS Time (s),Min CKKS Time (s),Max CKKS Time (s)
T1_Default,50,0.033444,0.018864,0.038718
T1_Default,100,0.033597,0.01797,0.039366
T1_Default,200,0.03339,0.017975,0.050785
T1_Default,400,0.033971,0.017852,0.05136
T1_Default,500,0.034007,0.017895,0.05171
T1_Default,700,0.034135,0.017706,0.058522
T1_Default,1000,0.034067,0.018527,0.067428
T2_Scaled_x1.5,50,0.034227,0.01839,0.055981
T2_Scaled_x1.5,100,0.029658,0.018078,0.051653
T2_Scaled_x1.5,200,0.032755,0.017775,0.053976
T2_Scaled_x1.5,400,0.034286,0.018445,0.057314
T2_Scaled_x1.5,500,0.033931,0.017914,0.043598
T2_Scaled_x1.5,700,0.033791,0.019124,0.050496
T2_Scaled_x1.5,1000,0.033551,0.018984,0.068226
T3_Scaled_x2.0,50,0.034146,0.018699,0.038432
T3_Scaled_x2.0,100,0.034149,0.018775,0.040537
T3_Scaled_x2.0,200,0.034817,0.01806,0.044376
T3_Scaled_x2.0,400,0.034564,0.01778,0.052592
T3_Scaled_x2.0,500,0.034032,0.018687,0.071671
T3_Scaled_x2.0,700,0.034397,0.018891,0.062983
T3_Scaled_x2.0,1000,0.034185,0.020901,0.055603
