Triangle,Total Points,Mean,Min,Max,SD
T1 (Default),50,0.03309504,0.021127,0.039425,0.004200475546255909
T1 (Default),100,0.032110759999999995,0.017674,0.044991,0.0060322270693803975
T1 (Default),200,0.033146115,0.019451,0.054345,0.00465644770268217
T1 (Default),400,0.03343353,0.019745,0.052281,0.004031503951303214
T1 (Default),500,0.033904001999999996,0.019165,0.050438,0.004402476888241324
T1 (Default),700,0.03353409,0.018302,0.056195,0.004557972933944053
T1 (Default),1000,0.034196445,0.018678,0.058282,0.003731971869804488
T2 (Scaled ×1.5),50,0.034246479999999996,0.021366,0.038955,0.004008536443386687
T2 (Scaled ×1.5),100,0.03476804,0.018391,0.0398,0.003983306788094637
T2 (Scaled ×1.5),200,0.03453575,0.018154,0.039836,0.003703428622955575
T2 (Scaled ×1.5),400,0.032314465,0.018507,0.043727,0.0044129115297270585
T2 (Scaled ×1.5),500,0.033989348,0.018297,0.05729,0.00429167024197196
T2 (Scaled ×1.5),700,0.033885894285714285,0.018623,0.052019,0.004123430530780218
T2 (Scaled ×1.5),1000,0.033937859,0.018995,0.057328,0.004203136190388548
T3 (Scaled ×2.0),50,0.03420184,0.018526,0.040768,0.004500463039034347
T3 (Scaled ×2.0),100,0.03465562,0.018424,0.040085,0.0038361169992479622
T3 (Scaled ×2.0),200,0.03330205,0.01805,0.040339,0.0046814259389216075
T3 (Scaled ×2.0),400,0.033024505,0.01873,0.050568,0.004842232528454622
T3 (Scaled ×2.0),500,0.033310684,0.018564,0.046018,0.004735494778980073
T3 (Scaled ×2.0),700,0.03437899,0.018011,0.055433,0.004262269240340534
T3 (Scaled ×2.0),1000,0.033976246,0.018665,0.063277,0.004699050948574758
